Landkreis,ID_LK_SK,LK_SK,Bundesland,age_covid_0_34_%,age_covid_35_59_%,age_covid_60+_%,age_covid_unknown_%,gender_covid_f_%,gender_covid_m_%,gender_covid_unknown_%,Sterberate_%
LK Schweinfurt,9678,LK,Bayern,38.74239350912779,34.88843813387424,26.369168356997974,0.0,54.061624649859944,44.81792717086835,1.1204481792717087,5.070993914807302
LK Schwäbisch Hall,8127,LK,Baden-Württemberg,24.0521327014218,38.27014218009479,37.677725118483416,0.0,50.86551264980027,49.134487350199734,0.0,6.6350710900473935
LK Segeberg,1060,LK,Schleswig-Holstein,23.762376237623762,53.79537953795379,22.442244224422442,0.0,46.59498207885305,53.40501792114696,0.0,1.3201320132013201
LK Siegen-Wittgenstein,5970,LK,Nordrhein-Westfalen,31.596091205211724,40.390879478827365,28.013029315960914,0.0,52.28070175438596,47.368421052631575,0.3508771929824561,2.6058631921824107
LK Sigmaringen,8437,LK,Baden-Württemberg,25.161290322580644,47.612903225806456,27.225806451612904,0.0,53.01391035548686,46.831530139103556,0.1545595054095827,4.258064516129032
LK Soest,5974,LK,Nordrhein-Westfalen,23.676880222841227,49.86072423398329,26.46239554317549,0.0,46.39498432601881,53.60501567398119,0.0,2.2284122562674096
LK Sonneberg,16072,LK,Thüringen,19.791666666666664,38.54166666666667,41.66666666666667,0.0,54.83870967741935,45.16129032258064,0.0,7.291666666666667
LK Spree-Neiße,12071,LK,Brandenburg,33.33333333333333,44.44444444444444,22.22222222222222,0.0,38.333333333333336,61.66666666666667,0.0,0.0
LK Stade,3359,LK,Niedersachsen,29.797979797979796,48.484848484848484,21.71717171717172,0.0,52.63157894736842,47.368421052631575,0.0,4.040404040404041
LK Stadtverband Saarbrücken,10041,LK,Saarland,22.142286171063148,33.65307753796962,44.20463629096722,0.0,51.83431952662721,43.55029585798816,4.615384615384616,8.393285371702639
LK Starnberg,9188,LK,Bayern,31.712062256809336,45.525291828793776,22.762645914396888,0.0,48.23232323232323,51.515151515151516,0.25252525252525254,2.3346303501945527
LK Steinburg,1061,LK,Schleswig-Holstein,38.59649122807017,43.859649122807014,16.95906432748538,0.5847953216374269,47.74774774774775,52.25225225225225,0.0,1.7543859649122806
LK Steinfurt,5566,LK,Nordrhein-Westfalen,28.03315749811605,44.38583270535042,27.505651846269778,0.07535795026375283,52.39583333333333,47.5,0.10416666666666667,6.028636021100226
LK Stendal,15090,LK,Sachsen-Anhalt,22.429906542056074,45.794392523364486,31.775700934579437,0.0,53.535353535353536,46.464646464646464,0.0,5.607476635514018
LK Stormarn,1062,LK,Schleswig-Holstein,22.38442822384428,37.469586374695865,40.14598540145985,0.0,55.714285714285715,44.285714285714285,0.0,7.0559610705596105
LK Straubing-Bogen,9278,LK,Bayern,26.492537313432834,43.28358208955223,30.223880597014922,0.0,56.11353711790393,43.44978165938865,0.43668122270742354,5.037313432835821
LK Sächsische Schweiz-Osterzgebirge,14628,LK,Sachsen,25.654450261780106,42.67015706806283,31.675392670157066,0.0,54.509803921568626,45.490196078431374,0.0,0.7853403141361256
LK Sömmerda,16068,LK,Thüringen,29.72972972972973,48.64864864864865,21.62162162162162,0.0,35.13513513513514,64.86486486486487,0.0,2.7027027027027026
LK Südliche Weinstraße,7337,LK,Rheinland-Pfalz,24.0,54.0,22.0,0.0,50.73529411764706,49.26470588235294,0.0,2.0
LK Südwestpfalz,7340,LK,Rheinland-Pfalz,30.18867924528302,40.56603773584906,29.245283018867923,0.0,53.333333333333336,46.666666666666664,0.0,2.8301886792452833
LK Teltow-Fläming,12072,LK,Brandenburg,19.594594594594593,50.67567567567568,29.72972972972973,0.0,55.14705882352941,44.85294117647059,0.0,7.4324324324324325
LK Tirschenreuth,9377,LK,Bayern,19.471365638766517,36.47577092511013,44.052863436123346,0.0,56.68449197860963,43.208556149732615,0.10695187165775401,11.71806167400881
LK Traunstein,9189,LK,Bayern,29.39796716184519,38.2329945269742,32.290852228303365,0.07818608287724785,51.07778819119025,48.92221180880975,0.0,6.645817044566067
LK Trier-Saarburg,7235,LK,Rheinland-Pfalz,23.97959183673469,45.40816326530612,30.612244897959183,0.0,57.06806282722513,42.93193717277487,0.0,3.571428571428571
LK Tuttlingen,8327,LK,Baden-Württemberg,25.0,41.53225806451613,33.46774193548387,0.0,50.231481481481474,49.76851851851852,0.0,4.032258064516129
LK Tübingen,8416,LK,Baden-Württemberg,28.369905956112852,39.6551724137931,31.974921630094045,0.0,55.23138832997988,44.668008048289735,0.1006036217303823,4.310344827586207
LK Uckermark,12073,LK,Brandenburg,16.666666666666664,38.88888888888889,44.44444444444444,0.0,61.111111111111114,38.88888888888889,0.0,5.555555555555555
LK Uelzen,3360,LK,Niedersachsen,37.2093023255814,39.53488372093023,23.25581395348837,0.0,52.38095238095239,47.61904761904761,0.0,0.0
LK Unna,5978,LK,Nordrhein-Westfalen,23.308270676691727,38.64661654135338,37.29323308270677,0.7518796992481203,56.239015817223205,43.58523725834798,0.17574692442882248,5.112781954887218
LK Unstrut-Hainich-Kreis,16064,LK,Thüringen,10.38961038961039,51.94805194805194,37.66233766233766,0.0,50.66666666666667,49.333333333333336,0.0,3.896103896103896
LK Unterallgäu,9778,LK,Bayern,31.73431734317343,35.05535055350554,33.210332103321036,0.0,53.24074074074075,46.75925925925926,0.0,4.797047970479705
LK Vechta,3460,LK,Niedersachsen,29.938271604938272,37.96296296296296,32.098765432098766,0.0,44.91017964071856,55.08982035928144,0.0,3.0864197530864197
LK Verden,3361,LK,Niedersachsen,27.7027027027027,47.2972972972973,25.0,0.0,40.44117647058824,57.35294117647059,2.2058823529411766,1.3513513513513513
LK Viersen,5166,LK,Nordrhein-Westfalen,23.132183908045977,41.52298850574713,35.201149425287355,0.14367816091954022,51.162790697674424,48.837209302325576,0.0,5.028735632183908
LK Vogelsbergkreis,6535,LK,Hessen,28.92561983471074,48.760330578512395,22.31404958677686,0.0,50.43478260869565,49.56521739130435,0.0,4.132231404958678
LK Vogtlandkreis,14523,LK,Sachsen,22.144522144522146,44.52214452214452,33.33333333333333,0.0,60.32171581769437,39.67828418230563,0.0,3.263403263403263
LK Vorpommern-Greifswald,13075,LK,Mecklenburg-Vorpommern,21.897810218978105,31.386861313868614,46.715328467153284,0.0,53.38983050847458,45.76271186440678,0.847457627118644,5.109489051094891
LK Vorpommern-Rügen,13073,LK,Mecklenburg-Vorpommern,25.0,43.75,31.25,0.0,50.649350649350644,49.35064935064935,0.0,2.5
LK Vulkaneifel,7233,LK,Rheinland-Pfalz,24.576271186440678,38.13559322033898,37.28813559322034,0.0,48.484848484848484,51.515151515151516,0.0,4.23728813559322
LK Waldeck-Frankenberg,6635,LK,Hessen,22.5,49.375,28.125,0.0,53.02013422818792,46.97986577181208,0.0,1.875
